Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Oct 30 2021,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,17136,
Sat Oct 30 2021,10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,14516,
Sun Oct 31 2021,3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,19231,
Sun Oct 31 2021,7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,14960,
Sun Oct 31 2021,7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,17341,
Sun Oct 31 2021,7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,13507,
Sun Oct 31 2021,10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,16448,
Mon Nov 1 2021,7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,Box Score,,13889,
Mon Nov 1 2021,7:00p,San Antonio Spurs,118,Indiana Pacers,131,Box Score,,10227,
Mon Nov 1 2021,7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,Box Score,,20115,
Mon Nov 1 2021,7:30p,Washington Wizards,111,Atlanta Hawks,118,Box Score,,14632,
Mon Nov 1 2021,7:30p,Chicago Bulls,128,Boston Celtics,114,Box Score,,19156,
Mon Nov 1 2021,7:30p,Toronto Raptors,113,New York Knicks,104,Box Score,,16528,
Mon Nov 1 2021,8:00p,Denver Nuggets,97,Memphis Grizzlies,106,Box Score,,12683,
Mon Nov 1 2021,8:00p,Orlando Magic,115,Minnesota Timberwolves,97,Box Score,,14744,
Mon Nov 1 2021,10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,Box Score,,13722,
Tue Nov 2 2021,7:00p,Milwaukee Bucks,117,Detroit Pistons,89,Box Score,,9254,
Tue Nov 2 2021,7:30p,Miami Heat,125,Dallas Mavericks,110,Box Score,,19255,
Tue Nov 2 2021,9:00p,Sacramento Kings,113,Utah Jazz,119,Box Score,,18306,
Tue Nov 2 2021,10:00p,New Orleans Pelicans,100,Phoenix Suns,112,Box Score,,14323,
Tue Nov 2 2021,10:30p,Houston Rockets,117,Los Angeles Lakers,119,Box Score,,18997,
Wed Nov 3 2021,7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,Box Score,,16231,
Wed Nov 3 2021,7:00p,New York Knicks,98,Indiana Pacers,111,Box Score,,11607,
Wed Nov 3 2021,7:00p,Boston Celtics,92,Orlando Magic,79,Box Score,,12735,
Wed Nov 3 2021,7:00p,Chicago Bulls,98,Philadelphia 76ers,103,Box Score,,20438,
Wed Nov 3 2021,7:00p,Toronto Raptors,109,Washington Wizards,100,Box Score,,13538,
Wed Nov 3 2021,7:30p,Atlanta Hawks,108,Brooklyn Nets,117,Box Score,,17323,
Wed Nov 3 2021,8:00p,Denver Nuggets,106,Memphis Grizzlies,108,Box Score,,12977,
Wed Nov 3 2021,8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,Box Score,,15386,
Wed Nov 3 2021,8:30p,Dallas Mavericks,109,San Antonio Spurs,108,Box Score,,16356,
Wed Nov 3 2021,10:00p,Charlotte Hornets,92,Golden State Warriors,114,Box Score,,18064,
Wed Nov 3 2021,10:00p,New Orleans Pelicans,99,Sacramento Kings,112,Box Score,,0,
Thu Nov 4 2021,7:00p,Philadelphia 76ers,109,Detroit Pistons,98,Box Score,,8702,
Thu Nov 4 2021,7:30p,Utah Jazz,116,Atlanta Hawks,98,Box Score,,16590,
Thu Nov 4 2021,7:30p,Boston Celtics,95,Miami Heat,78,Box Score,,19600,
Thu Nov 4 2021,10:00p,Houston Rockets,111,Phoenix Suns,123,Box Score,,15058,
Thu Nov 4 2021,10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,Box Score,,18997,
Fri Nov 5 2021,7:00p,Brooklyn Nets,96,Detroit Pistons,90,Box Score,,14235,
Fri Nov 5 2021,7:00p,San Antonio Spurs,102,Orlando Magic,89,Box Score,,14101,
Fri Nov 5 2021,7:00p,Memphis Grizzlies,87,Washington Wizards,115,Box Score,,16302,
Fri Nov 5 2021,7:30p,New York Knicks,113,Milwaukee Bucks,98,Box Score,,17341,
Fri Nov 5 2021,7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,Box Score,,19800,
Fri Nov 5 2021,8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,Box Score,,17136,
Fri Nov 5 2021,10:00p,New Orleans Pelicans,85,Golden State Warriors,126,Box Score,,18064,
Fri Nov 5 2021,10:00p,Indiana Pacers,106,Portland Trail Blazers,110,Box Score,,16841,
Fri Nov 5 2021,10:00p,Charlotte Hornets,110,Sacramento Kings,140,Box Score,,14905,
Sat Nov 6 2021,5:00p,Houston Rockets,94,Denver Nuggets,95,Box Score,,16046,
Sat Nov 6 2021,7:30p,Utah Jazz,115,Miami Heat,118,Box Score,,19600,
Sat Nov 6 2021,8:00p,Philadelphia 76ers,114,Chicago Bulls,105,Box Score,,20936,
Sat Nov 6 2021,8:30p,Boston Celtics,104,Dallas Mavericks,107,Box Score,,20052,
Sat Nov 6 2021,10:00p,Atlanta Hawks,117,Phoenix Suns,121,Box Score,,15412,
Sat Nov 6 2021,10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,Box Score,,19393,
Sun Nov 7 2021,3:30p,Brooklyn Nets,116,Toronto Raptors,103,Box Score,,19800,
Sun Nov 7 2021,6:00p,Cleveland Cavaliers,126,New York Knicks,109,Box Score,,19040,
Sun Nov 7 2021,6:00p,Utah Jazz,100,Orlando Magic,107,Box Score,,13386,
Sun Nov 7 2021,6:00p,Indiana Pacers,94,Sacramento Kings,91,Box Score,,12993,
Sun Nov 7 2021,6:00p,Milwaukee Bucks,94,Washington Wizards,101,Box Score,,15570,
Sun Nov 7 2021,7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,Box Score,,12972,
Sun Nov 7 2021,8:30p,Houston Rockets,107,Golden State Warriors,120,Box Score,,18064,
Sun Nov 7 2021,9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,Box Score,,15781,
Mon Nov 8 2021,7:00p,New York Knicks,103,Philadelphia 76ers,96,Box Score,,20224,
Mon Nov 8 2021,8:00p,Brooklyn Nets,95,Chicago Bulls,118,Box Score,,19459,
Mon Nov 8 2021,8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,Box Score,OT,12416,
Mon Nov 8 2021,8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,Box Score,,19231,
Mon Nov 8 2021,9:00p,Miami Heat,96,Denver Nuggets,113,Box Score,,15577,
Mon Nov 8 2021,10:00p,Atlanta Hawks,113,Golden State Warriors,127,Box Score,,18064,
Mon Nov 8 2021,10:00p,Phoenix Suns,109,Sacramento Kings,104,Box Score,,13566,
Mon Nov 8 2021,10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,Box Score,OT,18997,
Tue Nov 9 2021,7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,Box Score,,20029,
Tue Nov 9 2021,9:00p,Atlanta Hawks,98,Utah Jazz,110,Box Score,,18306,
Tue Nov 9 2021,10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,Box Score,,14131,
Wed Nov 10 2021,7:00p,Washington Wizards,97,Cleveland Cavaliers,94,Box Score,,18056,
Wed Nov 10 2021,7:00p,Brooklyn Nets,123,Orlando Magic,90,Box Score,,13882,
Wed Nov 10 2021,7:30p,Toronto Raptors,88,Boston Celtics,104,Box Score,,19156,
Wed Nov 10 2021,7:30p,Detroit Pistons,112,Houston Rockets,104,Box Score,,15350,
Wed Nov 10 2021,7:30p,Milwaukee Bucks,112,New York Knicks,100,Box Score,,18027,
Wed Nov 10 2021,8:00p,Dallas Mavericks,107,Chicago Bulls,117,Box Score,,20910,
Wed Nov 10 2021,8:00p,Charlotte Hornets,118,Memphis Grizzlies,108,Box Score,,13880,
Wed Nov 10 2021,8:00p,Oklahoma City Thunder,108,New Orleans Pelicans,100,Box Score,,15355,
Wed Nov 10 2021,8:30p,Sacramento Kings,117,San Antonio Spurs,136,Box Score,,15065,
Wed Nov 10 2021,9:00p,Indiana Pacers,98,Denver Nuggets,101,Box Score,,15232,
Wed Nov 10 2021,9:00p,Portland Trail Blazers,109,Phoenix Suns,119,Box Score,,15672,
Wed Nov 10 2021,10:00p,Minnesota Timberwolves,110,Golden State Warriors,123,Box Score,,18064,
Wed Nov 10 2021,10:00p,Miami Heat,117,Los Angeles Lakers,120,Box Score,OT,18997,
Thu Nov 11 2021,7:00p,Toronto Raptors,115,Philadelphia 76ers,109,Box Score,,20112,
Thu Nov 11 2021,9:00p,Indiana Pacers,111,Utah Jazz,100,Box Score,,18306,
Thu Nov 11 2021,10:30p,Miami Heat,109,Los Angeles Clippers,112,Box Score,,16150,
Fri Nov 12 2021,7:00p,New York Knicks,96,Charlotte Hornets,104,Box Score,,19257,
Fri Nov 12 2021,7:30p,Milwaukee Bucks,113,Boston Celtics,122,Box Score,OT,19156,
Fri Nov 12 2021,7:30p,Detroit Pistons,78,Cleveland Cavaliers,98,Box Score,,17095,
Fri Nov 12 2021,8:00p,Portland Trail Blazers,104,Houston Rockets,92,Box Score,,15468,
Fri Nov 12 2021,8:00p,Phoenix Suns,119,Memphis Grizzlies,94,Box Score,,15886,
Fri Nov 12 2021,8:00p,Brooklyn Nets,120,New Orleans Pelicans,112,Box Score,,14650,
Fri Nov 12 2021,8:00p,Sacramento Kings,103,Oklahoma City Thunder,105,Box Score,,12881,
Fri Nov 12 2021,8:30p,Dallas Mavericks,123,San Antonio Spurs,109,Box Score,,13425,
Fri Nov 12 2021,9:00p,Atlanta Hawks,96,Denver Nuggets,105,Box Score,,16849,
Fri Nov 12 2021,10:00p,Chicago Bulls,93,Golden State Warriors,119,Box Score,,18064,
Fri Nov 12 2021,10:30p,Minnesota Timberwolves,107,Los Angeles Lakers,83,Box Score,,18997,
Sat Nov 13 2021,5:00p,Miami Heat,111,Utah Jazz,105,Box Score,,18306,
Sat Nov 13 2021,7:00p,Philadelphia 76ers,113,Indiana Pacers,118,Box Score,,14483,
Sat Nov 13 2021,7:00p,Memphis Grizzlies,101,New Orleans Pelicans,112,Box Score,,14358,
Sat Nov 13 2021,7:00p,Washington Wizards,104,Orlando Magic,92,Box Score,,17272,
Sat Nov 13 2021,7:30p,Detroit Pistons,127,Toronto Raptors,121,Box Score,,19800,
Sat Nov 13 2021,8:00p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,19432,
Sat Nov 13 2021,10:30p,Minnesota Timberwolves,102,Los Angeles Clippers,129,Box Score,,15285,
Sun Nov 14 2021,3:30p,San Antonio Spurs,106,Los Angeles Lakers,114,Box Score,,18997,
Sun Nov 14 2021,6:00p,Milwaukee Bucks,100,Atlanta Hawks,120,Box Score,,16901,
Sun Nov 14 2021,7:00p,Golden State Warriors,102,Charlotte Hornets,106,Box Score,,19559,
Sun Nov 14 2021,7:00p,Phoenix Suns,115,Houston Rockets,89,Box Score,,16088,
Sun Nov 14 2021,7:00p,Brooklyn Nets,120,Oklahoma City Thunder,96,Box Score,,15080,
Sun Nov 14 2021,8:00p,Portland Trail Blazers,95,Denver Nuggets,124,Box Score,,14583,
Sun Nov 14 2021,9:30p,Chicago Bulls,100,Los Angeles Clippers,90,Box Score,,17899,
Mon Nov 15 2021,7:00p,Boston Celtics,98,Cleveland Cavaliers,92,Box Score,,17186,
Mon Nov 15 2021,7:00p,Sacramento Kings,129,Detroit Pistons,107,Box Score,,10092,
Mon Nov 15 2021,7:00p,New Orleans Pelicans,100,Washington Wizards,105,Box Score,,13914,
Mon Nov 15 2021,7:30p,Orlando Magic,111,Atlanta Hawks,129,Box Score,,13061,
Mon Nov 15 2021,7:30p,Indiana Pacers,84,New York Knicks,92,Box Score,,16792,
Mon Nov 15 2021,8:00p,Denver Nuggets,101,Dallas Mavericks,111,Box Score,,19797,
Mon Nov 15 2021,8:00p,Houston Rockets,102,Memphis Grizzlies,136,Box Score,,11482,
Mon Nov 15 2021,8:00p,Phoenix Suns,99,Minnesota Timberwolves,96,Box Score,,16274,
Mon Nov 15 2021,8:00p,Miami Heat,103,Oklahoma City Thunder,90,Box Score,,12330,
Mon Nov 15 2021,10:00p,Toronto Raptors,113,Portland Trail Blazers,118,Box Score,,16142,
Mon Nov 15 2021,10:30p,Chicago Bulls,121,Los Angeles Lakers,103,Box Score,,18997,
Tue Nov 16 2021,7:30p,Golden State Warriors,117,Brooklyn Nets,99,Box Score,,17732,
Tue Nov 16 2021,10:00p,Philadelphia 76ers,85,Utah Jazz,120,Box Score,,18306,
Tue Nov 16 2021,10:30p,San Antonio Spurs,92,Los Angeles Clippers,106,Box Score,,13298,
Wed Nov 17 2021,7:00p,Washington Wizards,87,Charlotte Hornets,97,Box Score,,14402,
Wed Nov 17 2021,7:00p,Indiana Pacers,89,Detroit Pistons,97,Box Score,,11457,
Wed Nov 17 2021,7:30p,Boston Celtics,99,Atlanta Hawks,110,Box Score,,16445,
Wed Nov 17 2021,7:30p,Cleveland Cavaliers,99,Brooklyn Nets,109,Box Score,,16922,
Wed Nov 17 2021,7:30p,New Orleans Pelicans,98,Miami Heat,113,Box Score,,19600,
Wed Nov 17 2021,7:30p,Los Angeles Lakers,102,Milwaukee Bucks,109,Box Score,,17341,
Wed Nov 17 2021,7:30p,Orlando Magic,104,New York Knicks,98,Box Score,,16680,
Wed Nov 17 2021,8:00p,Sacramento Kings,97,Minnesota Timberwolves,107,Box Score,,13108,
Wed Nov 17 2021,8:00p,Houston Rockets,89,Oklahoma City Thunder,101,Box Score,,12066,
Wed Nov 17 2021,10:00p,Dallas Mavericks,98,Phoenix Suns,105,Box Score,,14838,
Wed Nov 17 2021,10:00p,Chicago Bulls,107,Portland Trail Blazers,112,Box Score,,17492,
Thu Nov 18 2021,7:30p,Golden State Warriors,104,Cleveland Cavaliers,89,Box Score,,19432,
Thu Nov 18 2021,7:30p,Washington Wizards,97,Miami Heat,112,Box Score,,19600,
Thu Nov 18 2021,8:00p,Los Angeles Clippers,108,Memphis Grizzlies,120,Box Score,,13419,
Thu Nov 18 2021,8:00p,San Antonio Spurs,90,Minnesota Timberwolves,115,Box Score,,13572,
Thu Nov 18 2021,9:00p,Philadelphia 76ers,103,Denver Nuggets,89,Box Score,,14547,
Thu Nov 18 2021,9:00p,Toronto Raptors,103,Utah Jazz,119,Box Score,,18306,
Fri Nov 19 2021,7:00p,Indiana Pacers,118,Charlotte Hornets,121,Box Score,,16787,
Fri Nov 19 2021,7:00p,Golden State Warriors,105,Detroit Pistons,102,Box Score,,20088,
Fri Nov 19 2021,7:30p,Los Angeles Lakers,108,Boston Celtics,130,Box Score,,19156,
Fri Nov 19 2021,7:30p,Orlando Magic,113,Brooklyn Nets,115,Box Score,,16966,
Fri Nov 19 2021,8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,Box Score,,17341,
Fri Nov 19 2021,8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,Box Score,,15274,
Fri Nov 19 2021,9:00p,Chicago Bulls,114,Denver Nuggets,108,Box Score,,19520,
Fri Nov 19 2021,10:00p,Dallas Mavericks,104,Phoenix Suns,112,Box Score,,17071,
Fri Nov 19 2021,10:00p,Toronto Raptors,108,Sacramento Kings,89,Box Score,,13159,
Sat Nov 20 2021,5:00p,Houston Rockets,99,New York Knicks,106,Box Score,,19812,
Sat Nov 20 2021,7:00p,New Orleans Pelicans,94,Indiana Pacers,111,Box Score,,15081,
Sat Nov 20 2021,7:00p,Miami Heat,100,Washington Wizards,103,Box Score,,20476,
Sat Nov 20 2021,7:30p,Charlotte Hornets,105,Atlanta Hawks,115,Box Score,,17320,
Sat Nov 20 2021,7:30p,Oklahoma City Thunder,105,Boston Celtics,111,Box Score,,19156,
Sat Nov 20 2021,8:00p,Orlando Magic,108,Milwaukee Bucks,117,Box Score,,17341,
Sat Nov 20 2021,8:00p,Memphis Grizzlies,95,Minnesota Timberwolves,138,Box Score,,17136,
Sat Nov 20 2021,10:00p,Philadelphia 76ers,111,Portland Trail Blazers,118,Box Score,,17027,
Sat Nov 20 2021,10:00p,Utah Jazz,123,Sacramento Kings,105,Box Score,,13180,
Sun Nov 21 2021,3:30p,Dallas Mavericks,91,Los Angeles Clippers,97,Box Score,,17149,
Sun Nov 21 2021,6:00p,Los Angeles Lakers,121,Detroit Pistons,116,Box Score,,15532,
Sun Nov 21 2021,8:00p,New York Knicks,103,Chicago Bulls,109,Box Score,,21813,
Sun Nov 21 2021,8:00p,Denver Nuggets,97,Phoenix Suns,126,Box Score,,16072,
Sun Nov 21 2021,8:30p,Toronto Raptors,104,Golden State Warriors,119,Box Score,,18064,
Mon Nov 22 2021,7:00p,Brooklyn Nets,117,Cleveland Cavaliers,112,Box Score,,17387,
Mon Nov 22 2021,7:00p,Charlotte Hornets,109,Washington Wizards,103,Box Score,,16575,
Mon Nov 22 2021,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,Box Score,,15806,
Mon Nov 22 2021,7:30p,Houston Rockets,90,Boston Celtics,108,Box Score,,19156,
Mon Nov 22 2021,8:00p,Indiana Pacers,109,Chicago Bulls,77,Box Score,,21586,
Mon Nov 22 2021,8:00p,Orlando Magic,92,Milwaukee Bucks,123,Box Score,,17341,
Mon Nov 22 2021,8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,Box Score,,15689,
Mon Nov 22 2021,8:30p,Phoenix Suns,115,San Antonio Spurs,111,Box Score,,14715,
Mon Nov 22 2021,9:00p,Memphis Grizzlies,119,Utah Jazz,118,Box Score,,18306,
Mon Nov 22 2021,10:00p,Philadelphia 76ers,102,Sacramento Kings,94,Box Score,,13948,
Tue Nov 23 2021,7:00p,Miami Heat,100,Detroit Pistons,92,Box Score,,13123,
Tue Nov 23 2021,7:30p,Los Angeles Lakers,100,New York Knicks,106,Box Score,,19812,
Tue Nov 23 2021,10:00p,Denver Nuggets,100,Portland Trail Blazers,119,Box Score,,17052,
Tue Nov 23 2021,10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,Box Score,OT,17067,
Wed Nov 24 2021,7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,Box Score,,18055,
Wed Nov 24 2021,7:00p,Los Angeles Lakers,124,Indiana Pacers,116,Box Score,OT,15572,
Wed Nov 24 2021,7:00p,Charlotte Hornets,106,Orlando Magic,99,Box Score,,16114,
Wed Nov 24 2021,7:30p,Brooklyn Nets,123,Boston Celtics,104,Box Score,,19156,
Wed Nov 24 2021,8:00p,Chicago Bulls,113,Houston Rockets,118,Box Score,,16074,
Wed Nov 24 2021,8:00p,Toronto Raptors,126,Memphis Grizzlies,113,Box Score,,15409,
Wed Nov 24 2021,8:00p,Detroit Pistons,93,Milwaukee Bucks,114,Box Score,,17341,
Wed Nov 24 2021,8:00p,Miami Heat,101,Minnesota Timberwolves,113,Box Score,,17136,
Wed Nov 24 2021,8:00p,Washington Wizards,102,New Orleans Pelicans,127,Box Score,,14659,
Wed Nov 24 2021,8:00p,Utah Jazz,110,Oklahoma City Thunder,104,Box Score,,14081,
